epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,512.864,1.31955,3.30217,1.26966,0.49881,0.30874,0.29391,0.19009,1.23394,2.24472,1.21062,0.000206876,0.000206876,0.000206876
2,1014.01,1.33007,1.99333,1.30348,0.48408,0.47712,0.43498,0.28102,1.19257,1.73869,1.22587,0.000411099,0.000411099,0.000411099
3,1513.55,1.30584,1.75231,1.28635,0.60177,0.44808,0.46652,0.29909,1.2156,1.70999,1.23822,0.000611197,0.000611197,0.000611197
4,2011.62,1.28676,1.66221,1.27191,0.59478,0.48546,0.48664,0.31568,1.19694,1.54611,1.21022,0.000606437,0.000606437,0.000606437
5,2510.7,1.26121,1.57277,1.25891,0.64275,0.47923,0.50033,0.32661,1.18928,1.49649,1.21268,0.00060025,0.00060025,0.00060025
6,3009.52,1.25342,1.53415,1.24798,0.6487,0.51657,0.54545,0.35811,1.16302,1.42928,1.19693,0.000594062,0.000594062,0.000594062
7,3508.88,1.23655,1.47791,1.23697,0.49183,0.53623,0.53281,0.35293,1.1514,1.39567,1.17936,0.000587875,0.000587875,0.000587875
8,4008.04,1.225,1.44321,1.23425,0.55988,0.56442,0.56151,0.37404,1.16641,1.4111,1.18781,0.000581687,0.000581687,0.000581687
9,4505.96,1.22164,1.41879,1.2328,0.53539,0.57128,0.57555,0.38471,1.15968,1.42992,1.18993,0.0005755,0.0005755,0.0005755
10,5004.91,1.21097,1.38403,1.22889,0.59002,0.56855,0.58766,0.39482,1.1546,1.30413,1.17973,0.000569313,0.000569313,0.000569313
11,5506.67,1.20215,1.35237,1.2168,0.63808,0.51413,0.57934,0.38272,1.18528,1.3604,1.1974,0.000563125,0.000563125,0.000563125
12,6008.34,1.19031,1.31977,1.20539,0.67831,0.56262,0.61612,0.39869,1.15028,1.27447,1.173,0.000556938,0.000556938,0.000556938
13,6509.63,1.19106,1.29885,1.20614,0.64247,0.58663,0.6344,0.42225,1.14897,1.25233,1.17275,0.00055075,0.00055075,0.00055075
14,7011.81,1.18222,1.26993,1.20172,0.57792,0.52958,0.58011,0.38259,1.15512,1.29413,1.17218,0.000544563,0.000544563,0.000544563
15,7513.12,1.17161,1.25122,1.19394,0.6591,0.55856,0.61753,0.42763,1.10963,1.22497,1.14966,0.000538375,0.000538375,0.000538375
16,8016.33,1.165,1.24243,1.18889,0.59844,0.60466,0.61569,0.42029,1.12911,1.19897,1.1675,0.000532187,0.000532187,0.000532187
17,8520.54,1.1663,1.22445,1.19113,0.66684,0.56165,0.61551,0.41588,1.15491,1.19567,1.16925,0.000526,0.000526,0.000526
18,9020.02,1.16403,1.20179,1.18617,0.63926,0.59676,0.63409,0.43081,1.13286,1.17336,1.17232,0.000519812,0.000519812,0.000519812
19,9521.79,1.14894,1.1866,1.17865,0.60152,0.61125,0.59564,0.39654,1.15402,1.24662,1.18367,0.000513625,0.000513625,0.000513625
20,10023.9,1.14957,1.16679,1.17429,0.60343,0.61362,0.62502,0.42303,1.12134,1.16189,1.15105,0.000507438,0.000507438,0.000507438
21,10526.7,1.13978,1.15483,1.17263,0.63427,0.56176,0.61026,0.41382,1.10362,1.16812,1.14943,0.00050125,0.00050125,0.00050125
22,11028.9,1.14541,1.15477,1.17671,0.626,0.62728,0.64272,0.43675,1.10915,1.12703,1.14644,0.000495063,0.000495063,0.000495063
23,11531.4,1.131,1.12771,1.172,0.65671,0.58283,0.6343,0.42844,1.11933,1.13942,1.16007,0.000488875,0.000488875,0.000488875
24,12031.4,1.12414,1.11217,1.16401,0.66171,0.57348,0.64195,0.44152,1.10886,1.1221,1.14689,0.000482687,0.000482687,0.000482687
25,12531.9,1.11676,1.10254,1.16214,0.68232,0.57995,0.64387,0.43844,1.10892,1.12163,1.15024,0.0004765,0.0004765,0.0004765
26,13031.4,1.11819,1.08829,1.15744,0.73891,0.58974,0.66618,0.4529,1.12786,1.12966,1.16707,0.000470312,0.000470312,0.000470312
27,13531.8,1.12008,1.07571,1.15766,0.64636,0.59309,0.62334,0.42373,1.13509,1.13375,1.16643,0.000464125,0.000464125,0.000464125
28,14032.9,1.10268,1.06982,1.15049,0.69476,0.59715,0.65043,0.45562,1.1096,1.11416,1.13946,0.000457938,0.000457938,0.000457938
29,14533.9,1.10205,1.06285,1.14746,0.65105,0.61419,0.65558,0.45259,1.09707,1.11577,1.13865,0.00045175,0.00045175,0.00045175
